             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          12260173      a100 ditto_fl sayromlo PD       0:00      1 (Resources)
          12255482      a100     bash  akshita  R   17:08:46      1 gpu181
          12238029      a100 gen_imag  arashaf  R 1-16:25:53      1 gpu191
          12238030      a100 gen_imag  arashaf  R 1-16:25:53      1 gpu191
          12238028      a100 gen_imag  arashaf  R 1-17:24:10      1 gpu188
          12238027      a100 gen_imag  arashaf  R 1-17:25:25      1 gpu182
          12239112      a100 163-2e-4    junma  R 1-17:31:42      1 gpu182
          12239106      a100  163topk    junma  R 1-17:33:43      1 gpu182
          12239105      a100 163-1e-4    junma  R 1-17:34:13      1 gpu191
          12239122      a100  163unet    junma  R 1-17:22:25      1 gpu185
          12255632      a100  163unet    junma  R   16:30:10      1 gpu184
          12255682      a100 163-mamb    junma  R   15:54:45      1 gpu184
          12255683      a100 163-mamb    junma  R   15:54:45      1 gpu188
          12255762      a100 v1_l15_1   pritam  R      17:46      1 gpu183
          12255761      a100 v1_l15_1   pritam  R      18:58      1 gpu190
          12260150      a100 moon_fl_ sayromlo  R    2:43:17      1 gpu189
          12260148      a100 moon_fl_ sayromlo  R    2:43:30      1 gpu186
          12260149      a100 moon_fl_ sayromlo  R    2:43:30      1 gpu187
          12249243      a100 test_rus zhongsi1  R   15:46:06      1 gpu181
          12253250      a100 a100_sca   dertam  R   19:25:11      1 gpu185
          12260166      a100 a100_sca   dertam  R    2:22:13      1 gpu188
          12260162      a100 a100_sca   dertam  R      31:21      1 gpu182
          12260189      a100 a100_sca   dertam  R      31:21      1 gpu191
          12221638       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221639       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221640       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221641       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221642       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221643       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221644       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221645       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221646       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12221647       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12236991       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12236992       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12236993       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
          12236994       a40 sweep_17 jacobtia PD       0:00      1 (QOSMaxGRESPerUser)
